Nr,sy,sm,monthWritten,sd,em,ed,date,date,ID,folio,Datierung ,,Empfaenger,Absender,type,theme,Quelle,,Antwort,Kommentar,Bürgermeisterfrage,,,,,,,,,,,,,,,,
46,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER42,[fol. 3r], 1449 April 21,,Nürnberg,,Brief,,"Item desgleichen auch ein brief von hertzog Fridrichen von Sachsen, von desselben her Apels vehde wegen.",,,,,,,,,,,,,,,,,,,,46
47,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER43,[fol. 3r],1449 Mai 1,,Nürnberg,,Antwort,,"Item ein antwurt von hertzog Wilhelmen von Sachsen, von Wilhelms von Plannckenberg und Heinrich Posseken veintschaft wegen.",,,,,,,,,,,,,,,,,,,,47
48,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER44,[fol. 3r],,,Nürnberg,,Antwort,,Item ein antwurt von demselben Wilhelmen von Plannckenberg ad idem.,,,,,,,,,,,,,,,,,,,,48
49,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER45,[fol. 3r],,,Nürnberg,,Antwort,,Item ein antwurt von Heinrich Possecken ad idem.,,,,,,,,,,,,,,,,,,,,49
50,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER46,[fol. 3r],1449 Mai 1,,Nürnberg,,Antwort,,Item ein antwurt von hern Hannsen von Planckenberg ad idem.,,,,,,,,,,,,,,,,,,,,50
51,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER47,[fol. 3r],1449 Mai 7,,Nürnberg,,Antwort,,"Item ein antwurt von Ingelstat, von Hansen Kalbskops wegen.",,,,,,,,,,,,,,,,,,,,51
52,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER48,[fol. 3r],,,Nürnberg,,Brief,,"Item ein brief von unserm hern von Bamberg, von Peter Hallerin wegen, und dabei ir antwurt an denselben b(ischof) von Bamberg, widerumb zusamen gepunden.",,1449 Mai 12,,,,,,,,,,,,,,,,,,52
53,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER49,[fol. 3r],,,Nürnberg,,Antwort,,"Item ein antwurt von Mertin von Eybe, Berchtold Volkmers armmann anrurend.",,,,,,,,,,,,,,,,,,,,53
54,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER50,[fol. 3r],,,Nürnberg,,Brief,,"Item ein brief vom rat zur Freyenstat, von Contzen Kalben wegen.",,,,,,,,,,,,,,,,,,,,54
55,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER51,[fol. 3r],1449 April 24 ,Vgl. Anschreiben an Passau 1449 April 24 BB 20/4r-v.,Nürnberg,,Zettel,,"Item Hannsen Krawsen zettel von Passaw, in sachen in gen Gorgen Auer anrurend.",,,,,,,,,,,,,,,,,,,,55
56,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER52,[fol. 3r],,Vgl. Schreiben an Gf. Wilhelm von Henneberg und Konrad Schenk von Limpurg in dieser Sache 1449 April 26 BB 20/8r.,Nürnberg,,Zettel,,Item zwn zetteln in der Sweinfurtischen sache.,,,,,,,,,,,,,,,,,,,,56
57,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER53,[fol. 3r],,,Nürnberg,,Zettel,,"Item Michels von Buch zettel, von seiner vennknuß wegen.",,,,,,,,,,,,,,,,,,,,57
58,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,BER54,[fol. 3r],,,Nürnberg,,Brief,,"Item ein brief von Ulme mit einer eingeslossen abschrift, unsers hern von Wirtzpurg tag zu Bamberg uf Cant(ate) [1449 Mai 11] antreffend, mit potschaft zu bestellen.",,,,,,,,,,,,,,,,,,,,58
59,1449,4,April,16,Mai,13,1449 April 16|Mai 13,1449 April 16|Mai 13,[fol. 3v],[fol. 3v],,,,,,,,,,,,,,,,,,,,,,,,,,,59
60,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,2. 1449 Mai 14 bis Juni 11,[fol. 3v],,,Nürnberg,,,,,,,,Burgermeister her Berchtold Pfintzing und her Eberhard Zolner feria iiiia post dominicam Cantate anno xlixo.,,,,,,,,,,,,,,,,60
62,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER55,[fol. 3v],,,Nürnberg,,Bittbrief,,"Item i betbrief von Eßlingen, in etliche buchssen hie zu bestellen.",,1449 Mai 16,,,,,,,,,,,,,,,,,,62
63,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER56,[fol. 3v],,,Nürnberg,,Bittbrief,,"Item ein betbrief vom Tutschen Meister, das holtzen auß unserm walde zum Teutschen Haws hie antreffend.",,,,,,,,,,,,,,,,,,,,63
64,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER57,[fol. 3v],,,Nürnberg,,Brief,,"Item ein brief von hern Franntzen Rumel, an B[ertold] Volkmer lautend, von achthabung wegen des sloß Liechtnawe.",,,,,,,,,,,,,,,,,,,,64
65,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER58,[fol. 3v],,,Nürnberg,,,,"Item i brief vom schultheiß zu Wirtzpurg, an B[ertold] Volkmer lautend, von erfarung und kuntschaft wegen im Elses.",,,,,,,,,,,,,,,,,,,,65
66,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER59,[fol. 3v],1449 Mai 8 ,,Nürnberg,,Antwort,,"Item ein antwurt von Ulme, ein kurtze manung zu machen.",,,,,,,,,,,,,,,,,,,,66
67,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER60,[fol. 3v],,,Nürnberg,,Brief,,"Item ein brief von Conrat vom Eglofstein, lanntrichter, von der geschicht wegen, zwischen im und Jacoben Schopper, unserm burger, erganngen.",,1449 Mai 16,,,,,,,,,,,,,,,,,,67
68,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER61,[fol. 3v],,,Nürnberg,,Brief,,"Item ein brief von hern Franntzen Rumel, an Berchtold Volkmer lautend, von etlicher rede wege, im durch marggraf Albrecht mitgeteylt.",,,,,,,,,,,,,,,,,,,,68
69,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER62,[fol. 3v],,,Nürnberg,,Kredenz,,Item ein offen credentz von dem von Gera.,,,,,,,,,,,,,,,,,,,,69
70,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER63,[fol. 3v],,,Nürnberg,,Brief,,"Item i brief von Lorentzen Hofman, wirdt zu Grevenreinfelt, an Jorgen Derrer lautend, von kuntschaft wegen, auf in und andere der stet frund furgenomen.",,,,,,,,,,,,,,,,,,,,70
71,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER64,[fol. 3v],1449 Mai 8 ,,Nürnberg,,Brief,,"Item ein brief von Weissemburg, von des tags wegen, sie gen Heinrich Zenger antreffend.",,1449 Mai 19,,,,,,,,,,,,,,,,,,71
72,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER65,[fol. 3v],1449 Mai 8 ,,Nürnberg,,Brief,,"Item ein brief von demselben Heinrichen Zennger, darinn er denselben tag abschreibt.",,1449 Mai 19,,,,,,,,,,,,,,,,,,72
73,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER66,[fol. 3v],,,Nürnberg,,Bittbrief,,"Item ein betbrief von hern Anth(oni), bischof zu Bamberg, von Hannsen Gundlochs wegen, in seins burckrechts ledig zu sagen.",,1449 Mai 19,,,,,,,,,,,,,,,,,,73
74,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,[fol. 4r],[fol. 4r],,,,,,,,,,,,,,,,,,,,,,,,,,,74
75,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER67,[fol. 4r],,,Nürnberg,,Bittbrief,,"Item betbrief von hertzog Sigmunden von Osterr(eich), Oswalten Sebner, seinen camermeister, mit geleite zu furdern gen der Ölsnach.",,,,,,,,,,,,,,,,,,,,75
76,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER68,[fol. 4r],,,Nürnberg,,Brief,,"Item ein brief von Hannsen Bogner, unsern diener, des Keßler nom anrurend.",,,,,,,,,,,,,,,,,,,,76
77,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER69,[fol. 4r],,,Nürnberg,,Brief,,"Item ein brief von Twochen von Nedwiedlaw und Casparn von Tetta, uns ein mercklich zewg zufurn.",,1449 Mai 19,,,,,,,,,,,,,,,,,,77
78,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER70,[fol. 4r],,,Nürnberg,,Brief,,"Item ein brief von Hannsen von Vach, Conrat Epstein und Conrat Jeger, uns etlich unser veynde zu wege zu pringen.",,1449 Mai 18,,,,,,,,,,,,,,,,,,78
79,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER71,[fol. 4r],,,Nürnberg,,Brief,,"Item ein brief von marggraf Albrecht von Brand(enburg), von geleits wegen unser kauflut in Nördlinger meß.",,,Vgl. 1449 Mai 12 BB 20/21r.,,,,,,,,,,,,,,,,,79
80,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER72,[fol. 4r],,,Nürnberg,,Brief,,"Item ein brief von hern Albrechten Muracher, von Andres Cramers wegen.",,1449 Mai 17,,,,,,,,,,,,,,,,,,80
81,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER73,[fol. 4r],1449 Mai 12 ,,Nürnberg,,Geleitbrief,,"Item geleitsbr(ieve) von unserm hern marggraf Albrecht, den von Ötingen und Guntzenhausen in die Nordl(inger) meß.",,,,,,,,,,,,,,,,,,,,81
82,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER74,[fol. 4r],,,Nürnberg,,Brief,,"Item ein brief vom schultheiß zu Wirtzpurg, an B[erthold] Volkmer lautend, von etlicher rede wegen, durch marggraf Albrecht ergangen, den krieg antreffend.",,1449 Mai 20,,,,,,,,,,,,,,,,,,82
83,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER75,[fol. 4r],,,Nürnberg,,Bittbrief,,"Item ein betbrief von unserm hern von Wirtzpurg, von Hannsen Vollannds weybs vermechnuß wegen.",,,,,,,,,,,,,,,,,,,,83
84,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER76,[fol. 4r],,,Nürnberg,,Antwort,,"Item ein antwurt von Wilhelmen Plannkenberg, von seiner unpillichen vehde wegen, darumb er im spruch gen uns furnympt.",,,Vgl. 1449 Mai 13 BB 20/22r-23r.,,,,,,,,,,,,,,,,,84
85,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER77,[fol. 4r],,,Nürnberg,,Antwort,,Item ein antwurt von hern Hannsen von Plannkenburg ad idem.,,, Vgl. 1449 Mai 13 BB 20/22r-23r.,,,,,,,,,,,,,,,,,85
86,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER78,[fol. 4r],,,Nürnberg,,wiedergefundener Brief,,"Item ein widerpietbrief von unserm hern von Wirtzpurg mit eingeslossen abschriften, von seins tags wegen zu Bamberg.",,1449 Mai 24,,,,,,,,,,,,,,,,,,86
87,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER79,[fol. 4r],,,Nürnberg,,Warnungsbrief,,"Item ein warnungbrief von Hannsen Watzenrieder, castner zu Rot, Fritzen Schikentanntz, schuster bey uns, anrurend.",,,,,,,,,,,,,,,,,,,,87
88,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,[fol. 4v],[fol. 4v],,,,,,,,,,,,,,,,,,,,,,,,,,,88
89,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER80,[fol. 4v],,,Nürnberg,,Brief,,"Item ein brief von Weissemburg, darinne sie unser potschaft gewalt geben zu der manung zu Ulme.",,,,,,,,,,,,,,,,,,,,89
90,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER81,[fol. 4v],,,Nürnberg,,Warnungsbrief,,"Item ein warnungbrief von Caspern Kornrewter, an die priorin zu Engeltal lautend.",,,,,,,,,,,,,,,,,,,,90
91,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER82,[fol. 4v],,Vgl. 1449 Mai 21 BB 20/33v.,Nürnberg,,Dankbrief,,"Item dannkbrief von Dinkelspuhel, von verkundung wegen etlicher gewerbe.",,,,,,,,,,,,,,,,,,,,91
92,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER83,[fol. 4v],,Vgl. 1449 Mai 21 BB 20/33v.,Nürnberg,,Dankbrief,,Item ein dannkbrief von Werd ad idem.,,,,,,,,,,,,,,,,,,,,92
93,1449,5,Mai,14,Juni,11,1449 Mai 14|Juni 11,1449 Mai 14|Juni 11,BER84,[fol. 4v],,,Nürnberg,,Bittbrief,,"Item ein betbrief von unserm hern hertzog Heinrich von Beyrn, sein reten zu der losung zu Herspruck unser ratsfrunde zu zu schicken.",,,,,,,,,,,,,,,,,,,,93
